uid,vid,quiz_time,used_time(s),grade
2020213320,13,2022-12-29 20:59:15,16,100
2020213320,15,2022-12-29 21:06:35,63,100
2020213320,16,2022-12-29 21:10:34,178,50
2020213320,17,2022-12-29 21:17:05,155,75
2020213320,18,2022-12-29 21:24:03,148,75
2020213320,19,2022-12-29 21:37:30,269,100
2020213320,20,2022-12-29 21:48:18,66,100
2020213320,21,2022-12-29 21:56:06,177,75
2020213320,22,2022-12-29 22:03:24,99,75
2020213320,23,2022-12-29 22:08:04,155,100
2020213322,1,2022-09-11 12:15:22,60,100
2020213322,2,2022-09-11 12:26:21,38,75
2020213322,3,2022-09-11 16:54:44,529,100
2020213322,4,2022-09-11 20:20:07,69,50
2020213322,5,2022-09-11 20:33:46,113,100
2020213322,6,2022-11-06 11:08:32,96,100
2020213322,7,2022-11-06 11:14:33,372,100
2020213322,8,2022-11-06 11:24:56,268,100
2020213322,9,2022-11-06 11:33:59,96,75
2020213322,10,2022-11-06 14:17:19,59,50
2020213322,11,2022-11-06 15:02:36,51,75
2020213322,12,2022-11-06 21:14:20,1284,75
2020213322,13,2022-11-23 10:49:05,181,100
2020213322,15,2022-11-28 22:04:38,85,100
2020213322,16,2022-11-29 16:38:00,5,100
2020213322,17,2022-11-29 16:41:37,214,100
2020213322,18,2022-12-18 10:42:34,109,100
2020213322,19,2022-12-18 10:55:52,117,100
2020213322,20,2022-12-18 11:00:11,105,75
2020213322,21,2022-12-18 11:08:10,213,100
2020213322,22,2022-12-18 11:31:21,44,100
2020213322,23,2022-12-18 11:58:59,168,100
2020213323,1,2022-09-11 19:35:43,62,100
2020213323,2,2022-09-11 19:42:34,41,75
2020213323,3,2022-09-11 19:55:35,547,100
2020213323,4,2022-09-11 20:14:13,147,100
2020213323,5,2022-09-11 20:27:07,28,100
2020213323,6,2022-10-29 17:32:32,68,100
2020213323,7,2022-10-29 17:41:56,22,75
2020213323,8,2022-10-29 17:50:24,34,75
2020213323,9,2022-10-29 19:50:17,10,75
2020213323,10,2022-10-29 19:56:28,128,75
2020213323,11,2022-10-31 14:05:11,88,50
2020213323,12,2022-11-01 22:31:52,91,100
2020213323,13,2022-11-07 12:33:30,29,100
2020213323,14,2022-11-07 12:39:35,35,75
2020213323,15,2022-11-14 09:27:45,125,75
2020213323,16,2022-11-21 09:47:55,126,100
2020213323,17,2022-11-21 14:00:29,59,75
2020213323,18,2022-12-15 11:01:36,38,100
2020213323,19,2022-12-15 11:25:12,95,100
2020213323,20,2022-12-15 11:30:47,98,75
2020213323,21,2022-12-16 20:02:30,64,100
2020213323,22,2022-12-16 19:43:15,26,75
2020213323,23,2022-12-16 19:49:11,170,100
2020213326,1,2022-09-12 09:06:02,225,100
2020213326,2,2022-09-12 09:15:53,428,100
2020213326,3,2022-09-12 09:30:12,542,100
2020213326,4,2022-09-12 12:50:10,270,0
2020213326,5,2022-09-25 23:47:40,316,100
2020213326,6,2022-11-30 15:02:56,268,100
2020213326,7,2022-11-30 15:12:14,660,100
2020213326,8,2022-11-30 15:27:36,149,100
2020213326,9,2022-11-30 15:35:01,364,75
2020213326,10,2022-11-30 15:47:20,188,50
2020213326,11,2022-11-30 15:59:02,224,75
2020213326,12,2022-11-30 16:14:38,114,100
2020213326,13,2022-11-30 16:19:55,211,100
2020213326,15,2022-11-30 16:31:21,173,100
2020213326,16,2022-11-30 17:11:51,387,100
2020213326,17,2022-12-18 20:05:03,291,100
2020213326,18,2022-12-18 20:14:13,175,100
2020213326,19,2022-12-18 20:29:23,709,100
2020213326,20,2022-12-18 20:41:50,153,100
2020213326,21,2022-12-18 20:50:49,98,100
2020213326,22,2022-12-18 20:56:28,320,75
2020213326,23,2022-12-18 21:02:23,240,100
2020213327,1,2022-09-11 14:41:37,516,50
2020213327,2,2022-09-11 15:05:13,102,50
2020213327,3,2022-09-11 15:18:09,335,100
2020213327,4,2022-09-11 15:33:00,352,50
2020213327,5,2022-09-11 15:53:41,169,100
2020213327,6,2022-10-29 10:55:01,139,75
2020213327,7,2022-10-29 11:25:17,663,75
2020213327,8,2022-10-31 11:10:51,291,100
2020213327,9,2022-10-31 11:31:34,185,100
2020213327,10,2022-10-31 11:44:21,785,75
2020213327,11,2022-11-06 19:56:02,138,75
2020213327,12,2022-11-06 20:08:43,75,100
2020213327,13,2022-11-06 20:17:04,146,100
2020213327,14,2022-11-06 20:28:28,70,100
2020213327,15,2022-11-23 01:35:51,54,100
2020213327,16,2022-11-23 01:59:07,156,75
2020213327,17,2022-11-23 02:08:56,391,100
2020213327,18,2022-11-23 13:26:15,69,100
2020213327,19,2022-11-23 14:29:01,388,75
2020213327,20,2022-11-23 14:40:07,61,100
2020213327,21,2022-12-18 00:50:11,52,100
2020213327,22,2022-12-18 01:00:09,81,75
2020213327,23,2022-12-18 01:07:47,94,100
2020213328,1,2022-09-11 21:22:57,588,100
2020213328,2,2022-09-11 21:51:50,273,50
2020213328,3,2022-09-11 22:31:22,397,100
2020213328,4,2022-09-11 22:42:54,103,100
2020213328,5,2022-09-11 22:51:58,71,50
2020213329,1,2022-09-11 15:32:07,185,50
2020213329,2,2022-09-11 15:40:34,419,50
2020213329,3,2022-09-11 15:55:10,300,75
2020213329,4,2022-09-11 16:05:51,354,50
2020213329,5,2022-09-11 16:22:17,394,100
2020213329,6,2022-12-18 21:25:42,356,50
2020213329,7,2022-12-18 21:32:30,594,50
2020213329,8,2022-12-18 21:43:01,213,75
2020213329,9,2022-12-18 21:47:07,162,75
2020213329,10,2022-12-18 21:50:12,370,50
2020213329,11,2022-12-18 21:56:48,217,75
2020213329,12,2022-12-18 22:00:42,179,100
2020213329,13,2022-12-18 22:04:32,260,100
2020213329,15,2022-12-21 11:35:00,108,100
2020213329,16,2022-12-21 11:31:36,174,75
2020213329,17,2022-12-21 11:21:02,616,75
2020213329,18,2022-12-21 11:37:15,160,100
2020213329,19,2022-12-21 11:40:07,256,75
2020213329,20,2022-12-21 11:44:41,84,100
2020213329,21,2022-12-21 11:46:24,281,50
2020213329,22,2022-12-21 11:51:34,343,75
2020213329,23,2022-12-21 11:57:36,275,100
2020213330,1,2022-09-11 23:08:48,69,25
2020213330,2,2022-09-11 23:13:45,106,75
2020213330,3,2022-09-11 23:28:04,192,75
2020213330,4,2022-09-11 23:43:47,31,50
2020213330,5,2022-09-11 23:58:40,88,75
2020213330,6,2022-12-04 13:39:30,53,75
2020213330,7,2022-12-04 13:42:00,139,100
2020213330,8,2022-12-04 13:45:12,10,100
2020213330,9,2022-12-04 13:45:46,13,100
2020213330,10,2022-12-04 13:46:50,5,100
2020213330,11,2022-12-04 13:47:27,3,100
2020213330,12,2022-12-04 13:48:49,5,100
2020213330,13,2022-12-04 13:50:19,6,25
2020213330,15,2022-12-04 13:51:24,4,100
2020213330,16,2022-12-04 13:52:36,5,100
2020213330,17,2022-12-04 13:54:21,5,100
2020213330,18,2022-12-04 13:56:02,3,100
2020213330,19,2022-12-04 13:57:29,3,100
2020213330,20,2022-12-04 13:59:00,5,100
2020213330,21,2022-12-04 14:00:00,3,100
2020213330,22,2022-12-04 14:01:00,5,100
2020213330,23,2022-12-04 14:02:28,3,100
2020213331,1,2022-09-08 14:37:41,529,100
2020213331,2,2022-09-08 14:52:43,154,75
2020213331,3,2022-09-08 15:06:27,346,100
2020213331,5,2022-09-08 15:42:53,343,75
2020213331,6,2022-10-30 17:35:30,772,100
2020213331,7,2022-10-30 21:40:29,378,25
2020213331,8,2022-10-31 10:55:54,200,100
2020213331,9,2022-10-31 11:22:34,316,75
2020213331,10,2022-10-31 11:36:53,830,75
2020213331,11,2022-10-31 18:49:49,295,75
2020213331,12,2022-11-01 14:34:58,71,100
2020213331,13,2022-11-01 15:10:38,196,100
2020213331,14,2022-11-01 15:31:03,224,100
2020213331,15,2022-12-09 21:49:03,312,100
2020213331,16,2022-12-09 22:15:46,481,75
2020213331,17,2022-12-09 22:30:57,372,75
2020213331,18,2022-12-17 21:04:22,132,100
2020213331,19,2022-12-17 21:27:55,96,100
2020213331,20,2022-12-17 21:33:58,207,100
2020213331,21,2022-12-17 21:48:56,797,75
2020213331,22,2022-12-17 22:10:06,62,75
2020213331,23,2022-12-17 22:17:16,341,100
2020213335,1,2022-09-10 11:31:10,77,100
2020213335,2,2022-09-11 12:26:46,128,75
2020213335,3,2022-09-11 12:47:19,46,50
2020213335,4,2022-09-11 14:01:07,9,100
2020213335,5,2022-09-11 14:34:19,127,100
2020213335,6,2022-10-31 14:51:54,71,100
2020213335,7,2022-10-31 15:02:41,64,75
2020213335,8,2022-10-31 15:15:45,167,75
2020213335,9,2022-10-31 15:35:41,148,75
2020213335,10,2022-10-31 16:50:04,174,75
2020213335,11,2022-10-31 18:35:02,32,75
2020213335,12,2022-11-01 14:40:08,36,100
2020213335,13,2022-11-06 15:28:47,101,100
2020213335,14,2022-11-06 15:41:03,133,100
2020213335,15,2022-11-14 21:39:53,43,75
2020213335,16,2022-11-26 14:29:10,161,100
2020213335,17,2022-11-26 14:45:08,80,100
2020213335,18,2022-12-12 19:54:26,114,100
2020213335,19,2022-12-13 12:45:17,30,100
2020213335,20,2022-12-13 12:52:34,14,100
2020213335,21,2022-12-13 14:25:39,259,100
2020213335,22,2022-12-13 14:37:51,38,100
2020213335,23,2022-12-13 14:48:00,30,100
2020213336,1,2022-09-11 20:23:29,70,100
2020213336,2,2022-09-11 20:25:19,170,50
2020213336,3,2022-09-11 16:44:34,149,100
2020213336,4,2022-09-11 17:07:44,69,100
