uid,vid,quiz_time,used_time(s),grade
2021214134,11,2022-10-06 17:43:15,43,100
2021214134,13,2022-11-11 17:56:11,166,50
2021214134,14,2022-11-11 18:03:05,53,100
2021214134,15,2022-11-17 21:57:58,15,100
2021214134,16,2022-11-17 22:00:50,28,100
2021214134,17,2022-11-24 23:16:59,24,75
2021214134,18,2022-11-24 23:21:54,105,50
2021214134,19,2022-12-08 14:48:31,22,75
2021214134,20,2022-12-08 14:52:58,126,100
2021214134,21,2022-10-03 15:05:11,26,100
2021214134,22,2022-09-09 20:37:11,86,100
2021214134,23,2022-09-09 20:42:14,107,100
2021214134,24,2022-09-09 20:47:20,105,33
2021214134,25,2022-09-09 20:54:09,202,50
2021214135,1,2022-09-02 20:03:30,59,75
2021214135,2,2022-09-02 20:12:12,69,75
2021214135,3,2022-09-02 20:18:00,57,75
2021214135,4,2022-09-19 21:03:25,49,75
2021214135,5,2022-09-19 21:07:07,64,75
2021214135,7,2022-09-28 19:21:02,22,75
2021214135,8,2022-09-28 19:29:30,45,75
2021214135,9,2022-10-06 20:37:10,59,75
2021214135,10,2022-10-06 20:48:35,74,100
2021214135,11,2022-10-06 21:16:07,35,100
2021214135,13,2022-11-14 20:58:59,42,50
2021214135,14,2022-11-14 21:03:02,49,67
2021214135,15,2022-11-14 21:06:54,26,100
2021214135,16,2022-11-14 21:09:36,111,67
2021214135,17,2022-11-22 09:46:18,34,75
2021214135,18,2022-11-22 09:50:38,32,75
2021214135,19,2022-11-28 23:00:32,25,75
2021214135,20,2022-11-28 23:05:49,23,67
2021214135,21,2022-10-03 15:30:48,17,67
2021214135,22,2022-09-14 19:25:24,289,75
2021214135,23,2022-09-14 19:42:12,31,67
2021214135,24,2022-09-14 19:46:56,53,100
2021214135,25,2022-09-14 19:52:49,54,25
2021214136,1,2022-09-02 21:35:35,60,75
2021214136,2,2022-09-03 14:54:03,85,100
2021214136,3,2022-09-03 15:02:07,59,100
2021214136,4,2022-09-18 08:48:54,60,100
2021214136,5,2022-09-18 08:52:09,68,75
2021214136,7,2022-09-27 20:28:56,30,50
2021214136,8,2022-09-27 20:38:52,15,75
2021214136,9,2022-10-07 19:36:58,15,100
2021214136,10,2022-10-07 19:43:05,13,100
2021214136,11,2022-10-07 19:48:09,5,100
2021214136,13,2022-11-11 08:41:58,2,100
2021214136,14,2022-11-11 08:46:41,13,100
2021214136,15,2022-11-19 16:20:59,84,75
2021214136,16,2022-11-19 16:26:26,5,100
2021214136,17,2022-11-19 16:28:59,29,100
2021214136,18,2022-11-19 16:32:43,7,50
2021214136,19,2022-11-30 20:43:40,46,75
2021214136,20,2022-11-30 20:47:33,19,100
2021214136,21,2022-10-04 21:09:57,35,100
2021214136,22,2022-09-09 20:35:40,126,100
2021214136,23,2022-09-09 20:41:23,27,67
2021214136,24,2022-09-09 20:45:16,56,67
2021214136,25,2022-09-09 20:52:24,28,100
2021214138,1,2022-09-03 18:56:52,51,100
2021214138,3,2022-09-03 23:06:17,50,100
2021214138,4,2022-09-20 16:32:24,9,100
2021214138,5,2022-09-20 16:36:15,136,100
2021214138,7,2022-09-25 21:29:20,73,100
2021214138,8,2022-09-25 22:00:27,68,100
2021214138,9,2022-10-07 11:05:29,33,75
2021214138,10,2022-10-07 11:18:37,95,100
2021214138,11,2022-10-07 11:28:41,38,100
2021214138,13,2022-11-09 18:47:27,26,50
2021214138,21,2022-10-07 11:00:52,11,67
2021214138,22,2022-09-15 07:50:35,78,75
2021214138,23,2022-09-15 11:15:14,10,100
2021214138,24,2022-09-15 11:08:55,18,67
2021214138,25,2022-09-15 11:54:34,82,50
2021214139,1,2022-09-04 19:51:34,64,50
2021214139,2,2022-09-04 20:04:51,200,75
2021214139,3,2022-09-04 20:32:50,61,75
2021214139,4,2022-09-19 22:37:29,53,75
2021214139,5,2022-09-19 22:43:07,74,75
2021214139,7,2022-09-28 21:55:45,195,75
2021214139,8,2022-09-28 22:07:00,137,100
2021214139,9,2022-10-11 20:14:42,46,75
2021214139,10,2022-10-11 20:18:31,63,25
2021214139,11,2022-10-11 20:27:35,76,50
2021214139,13,2022-11-13 22:21:44,21,50
2021214139,14,2022-11-13 22:27:12,81,67
2021214139,17,2022-11-21 15:02:12,51,25
2021214139,18,2022-11-21 15:06:14,33,25
2021214139,19,2022-11-30 19:48:34,42,75
2021214139,20,2022-11-30 19:58:11,18,67
2021214139,21,2022-10-04 19:51:37,13,67
2021214139,22,2022-09-10 16:59:35,78,100
2021214139,23,2022-09-10 17:03:19,31,33
2021214139,24,2022-09-10 17:07:20,115,67
2021214139,25,2022-09-10 17:11:48,116,100
2021214140,1,2022-09-04 20:20:10,60,75
2021214140,2,2022-09-06 19:13:48,102,75
2021214140,3,2022-09-06 19:23:01,37,50
2021214140,4,2022-09-22 10:44:56,60,75
2021214140,5,2022-09-22 10:47:34,100,50
2021214140,7,2022-09-25 17:28:30,90,75
2021214140,8,2022-09-25 17:35:35,66,75
2021214140,9,2022-10-11 19:28:12,30,75
2021214140,10,2022-10-11 19:30:50,33,75
2021214140,11,2022-10-11 19:53:56,30,100
2021214140,21,2022-10-06 16:39:36,14,67
2021214140,22,2022-09-14 18:39:54,111,75
2021214140,23,2022-09-14 18:44:47,25,33
