,,event,position,timestamp,status,rate
34,2,0,57,153,1,1
35,0,0,0,11,1,1
36,0,0,0,1,1,1
37,0,0,0,1,1,1
38,0,0,0,1,1,1
39,0,0,0,1,1,1
40,0,0,0,1,1,1
40,1,2,231,236,1,1
40,2,1,232,237,0,1
40,3,0,232,255,1,1
40,4,3,254,265,1,1
41,0,0,0,2,1,1
41,1,1,9,11,0,1
41,2,0,9,16,1,1
41,3,1,61,67,0,1
41,4,0,61,78,1,1
41,5,1,184,200,0,1
41,6,0,184,466,1,1
41,7,2,293,599,1,1
41,8,2,280,605,1,1
42,0,0,0,1,1,1
42,1,1,273,272,0,1
42,2,0,273,843,1,1
42,3,1,369,939,0,1
43,0,0,0,1,1,1
43,1,2,73,100,1,1
43,2,3,90,101,1,1
43,3,1,125,138,0,1
43,4,0,125,141,1,1
44,0,0,0,1,1,1
44,1,1,557,553,0,1
44,2,0,557,615,1,1
44,3,1,678,735,0,1
44,4,0,678,1329,1,1
44,5,1,716,1367,0,1
44,6,0,716,1382,1,1
44,7,1,727,1393,0,1
44,8,0,727,1509,1,1
44,9,3,773,1539,1,1
44,10,3,788,1546,1,1
45,0,0,0,1,1,1
45,1,1,87,87,0,1
45,2,0,87,192,1,1
45,3,1,828,928,0,1
45,4,0,828,1111,1,1
46,0,0,0,1,1,1
46,1,1,48,48,0,1
46,2,0,48,140,1,1
46,3,1,161,253,0,1
46,4,0,161,267,1,1
46,5,1,176,282,0,1
46,6,0,176,298,1,1
46,7,2,122,310,1,1
46,8,1,180,371,0,1
46,9,0,180,386,1,1
47,0,0,0,1,1,1
47,1,1,12,13,0,1
47,2,0,12,27,1,1
47,3,2,142,196,1,1
47,4,2,126,201,1,1
47,5,2,149,249,1,1
47,6,2,360,510,1,1
47,7,2,446,614,1,1
47,8,1,452,620,0,1
47,9,0,452,633,1,1
48,0,0,0,2,1,1
48,1,2,445,497,1,1
48,2,1,734,785,0,1
48,3,2,717,789,0,1
48,4,1,717,790,0,1
48,5,0,717,794,1,1
48,6,3,744,817,1,1
48,7,2,738,835,1,1
48,8,3,759,842,1,1
48,9,2,749,843,1,1
48,10,1,1239,1331,0,1
48,11,0,1239,1389,1,1
49,0,0,0,1,1,1
49,1,2,158,166,1,1
49,2,2,198,221,1,1
49,3,2,193,228,1,1
49,4,3,209,238,1,1
50,0,0,0,1,1,1
50,1,2,24,43,1,1
50,2,2,113,192,1,1
50,3,1,257,336,0,1
50,4,0,257,340,1,1
50,5,1,266,349,0,1
50,6,0,266,352,1,1
50,7,1,277,363,0,1
50,8,0,277,365,1,1
50,9,1,291,379,0,1
50,10,0,291,384,1,1
50,11,1,297,390,0,1
50,12,0,297,395,1,1
50,13,1,304,402,0,1
50,14,0,304,407,1,1
50,15,1,309,412,0,1
50,16,0,309,417,1,1
50,17,1,316,424,0,1
50,18,0,316,427,1,1
50,19,1,324,435,0,1
50,20,0,324,451,1,1
50,21,1,354,481,0,1
50,22,0,354,485,1,1
50,23,1,361,492,0,1
50,24,0,361,496,1,1
50,25,1,362,497,0,1
50,26,0,362,513,1,1
50,27,1,393,545,0,1
50,28,0,393,548,1,1
50,29,1,395,550,0,1
50,30,0,395,553,1,1
50,31,1,398,556,0,1
50,32,0,398,560,1,1
50,33,1,410,572,0,1
50,34,0,410,577,1,1
50,35,1,415,582,0,1
50,36,0,415,592,1,1
50,37,1,437,614,0,1
50,38,0,437,620,1,1
50,39,1,446,629,0,1
50,40,0,446,634,1,1
50,41,1,454,642,0,1
50,42,0,454,649,1,1
50,43,1,461,656,0,1
50,44,0,461,662,1,1
50,45,1,471,672,0,1
50,46,0,471,677,1,1
50,47,1,479,685,0,1
50,48,0,479,691,1,1
50,49,1,483,695,0,1
50,50,0,483,700,1,1
50,51,1,493,710,0,1
50,52,0,493,719,1,1
50,53,1,500,726,0,1
50,54,0,500,732,1,1
50,55,1,501,733,0,1
50,56,0,501,746,1,1
50,57,1,553,798,0,1
50,58,0,553,805,1,1
50,59,1,562,814,0,1
50,60,0,562,818,1,1
51,0,0,0,1,1,1
51,1,2,193,205,1,1
51,2,2,258,278,1,1
51,3,2,259,285,1,1
51,4,2,259,290,1,1
51,5,3,271,292,1,1
51,6,1,345,367,0,1
51,7,0,345,653,1,1
51,8,2,441,753,1,1
52,0,0,0,1,1,1
53,0,0,0,10,1,1.0
53,1,4,75,86,1,2.0
54,0,0,0,1,1,1
54,1,1,2,3,0,1
54,2,0,2,240,1,1
54,3,1,283,521,0,1
54,4,0,283,531,1,1
54,5,1,312,560,0,1
54,6,0,312,563,1,1
55,0,0,0,1,1,1
55,1,3,34,13,1,1
55,2,2,9,14,1,1
55,3,2,182,207,1,1
55,4,1,184,209,0,1
55,5,0,184,221,1,1
55,6,1,187,224,0,1
55,7,0,187,231,1,1
55,8,2,275,323,1,1
56,0,0,9,1,1,1
56,1,3,187,7,1,1
56,2,2,119,11,1,1
56,3,1,120,12,0,1
56,4,3,127,19,0,1
56,5,2,78,20,0,1
56,6,1,78,22,0,1
56,7,2,54,29,0,1
56,8,1,54,31,0,1
56,9,2,39,35,0,1
56,10,3,90,37,0,1
56,11,2,78,39,0,1
56,12,1,78,39,0,1
56,13,0,78,50,1,1
56,14,3,187,70,1,1
56,15,1,189,72,0,1
56,16,3,292,75,0,1
57,0,0,19,7,1,1
57,1,1,27,15,0,1
57,2,0,27,39,1,1
57,3,3,372,46,1,1
57,4,2,30,48,1,1
57,5,1,96,118,0,1
57,6,0,96,213,1,1
57,7,1,115,232,0,1
57,8,0,115,251,1,1
57,9,1,243,380,0,1
57,10,0,243,396,1,1
57,11,1,250,403,0,1
57,12,0,250,422,1,1
57,13,1,251,423,0,1
57,14,0,251,428,1,1
57,15,2,97,583,1,1
57,16,3,109,584,1,1
57,17,1,110,585,0,1
57,18,0,110,594,1,1
57,19,3,121,597,1,1
57,20,3,202,650,1,1
57,21,3,214,655,1,1
57,22,3,246,661,1,1
57,23,1,246,663,0,1
57,24,3,408,666,0,1
57,25,2,405,667,0,1
58,0,0,243,2,1,1
58,1,1,244,3,0,1
59,0,0,0,1,1,1
59,1,1,40,40,0,1
59,2,0,40,43,1,1
59,3,1,50,53,0,1
59,4,0,50,55,1,1
59,5,1,104,109,0,1
59,6,0,104,132,1,1
59,7,2,151,182,1,1
59,8,1,151,182,0,1
59,9,0,151,226,1,1
59,10,2,160,242,1,1
59,11,1,161,243,0,1
59,12,0,161,250,1,1
59,13,1,267,356,0,1
59,14,0,267,363,1,1
59,15,1,292,388,0,1
59,16,0,292,397,1,1
59,17,2,293,410,1,1
59,18,1,294,412,0,1
59,19,2,262,422,0,1
59,20,2,281,468,0,1
59,21,2,266,473,0,1
59,22,1,267,474,0,1
59,23,3,301,493,0,1
61,0,0,0,1,1,1
61,1,2,14,21,1,1
61,2,1,14,21,0,1
61,3,0,14,27,1,1
61,4,2,127,146,1,1
61,5,1,127,146,0,1
61,6,0,127,162,1,1
63,0,0,0,1,1,1
63,1,1,16,17,0,1
63,2,0,16,20,1,1
63,3,1,19,22,0,1
63,4,0,19,24,1,1
63,5,1,237,240,0,1
63,6,0,237,243,1,1
64,0,0,0,1,1,1
64,1,1,8,9,0,1
64,2,0,8,77,1,1
64,3,1,30,99,0,1
64,4,0,30,108,1,1
64,5,1,183,260,0,1
64,6,0,183,307,1,1
64,7,2,156,311,1,1
64,8,1,192,351,0,1
64,9,0,192,401,1,1
64,10,2,191,405,1,1
64,11,1,295,509,0,1
64,12,0,295,522,1,1
64,13,1,435,661,0,1
64,14,0,435,665,1,1
64,15,1,437,667,0,1
64,16,0,437,669,1,1
64,17,1,469,700,0,1
64,18,0,469,749,1,1
64,19,2,178,760,1,1
64,20,2,92,767,1,1
64,21,2,64,772,1,1
64,22,3,114,773,1,1
64,23,2,109,777,1,1
64,24,1,111,780,0,1
64,25,3,230,783,0,1
64,26,2,198,784,0,1
64,27,1,199,785,0,1
64,28,0,199,788,1,1
64,29,3,481,790,1,1
64,30,2,475,791,1,1
65,0,0,0,1,1,1.0
65,1,5,10,12,1,0.5
65,2,0,11,13,1,0.5
65,3,6,14,19,1,1.0
66,0,0,0,1,1,1.0
66,1,4,468,390,1,1.25
67,0,0,0,1,1,1.0
67,1,4,1,3,1,2.0
68,0,0,0,1,1,1.0
68,1,4,1,3,1,2.0
69,0,0,0,1,1,1
69,1,1,26,26,0,1
69,2,0,26,59,1,1
69,3,3,542,75,1,1
70,0,0,22,42,1,1
70,1,1,116,135,0,1
70,2,0,116,370,1,1
70,3,1,279,532,0,1
70,4,0,279,539,1,1
70,5,1,331,590,0,1
70,6,2,316,593,0,1
70,7,1,334,611,0,1
70,8,0,334,614,1,1
70,9,2,338,625,1,1
70,10,1,506,792,0,1
70,11,0,506,812,1,1
71,0,0,0,1,1,1
72,0,0,0,1,1,1
72,1,1,17,18,0,1
72,2,0,17,60,1,1
73,0,0,6,11,1,1
73,1,3,592,13,1,1
73,2,2,567,17,1,1
